iter	Passed	Remaining
0	9	5587
1	19	5449
2	28	5387
3	38	5441
4	49	5490
5	58	5432
6	67	5348
7	76	5354
8	86	5343
9	96	5359
10	104	5259
11	113	5248
12	122	5222
13	131	5177
14	141	5182
15	150	5169
16	160	5162
17	169	5162
18	179	5160
19	188	5128
20	196	5098
21	205	5075
22	214	5054
23	222	5021
24	231	5002
25	240	4983
26	249	4979
27	258	4958
28	267	4950
29	276	4934
30	285	4920
31	332	5531
32	368	5935
33	377	5898
34	387	5868
35	397	5848
36	407	5818
37	417	5783
38	427	5768
39	438	5754
40	449	5739
41	458	5713
42	468	5691
43	478	5670
44	490	5667
45	500	5647
46	509	5611
47	518	5583
48	528	5564
49	538	5544
50	548	5523
51	557	5496
52	566	5472
53	576	5454
54	585	5429
55	594	5404
56	603	5378
57	613	5364
58	624	5355
59	635	5345
60	645	5335
61	656	5323
62	666	5310
63	678	5308
64	689	5302
65	700	5293
66	709	5277
67	720	5264
68	731	5257
69	742	5247
70	758	5275
71	773	5298
72	792	5343
73	809	5373
74	822	5373
75	833	5362
76	844	5354
77	855	5341
78	866	5330
79	877	5320
80	887	5304
81	898	5294
82	910	5286
83	920	5270
84	931	5258
85	940	5237
86	951	5225
87	961	5209
88	970	5191
89	980	5175
90	991	5162
91	1001	5148
92	1012	5139
93	1023	5126
94	1033	5113
95	1046	5110
96	1071	5168
97	1107	5276
98	1135	5345
99	1149	5344
100	1164	5347
101	1176	5340
102	1189	5333
103	1202	5331
104	1218	5336
105	1233	5340
106	1244	5326
107	1259	5329
108	1276	5338
109	1291	5340
110	1304	5335
111	1317	5327
112	1336	5346
113	1358	5374
114	1379	5397
115	1396	5405
116	1522	5830
117	1641	6217
118	1672	6269
119	1697	6293
120	1727	6339
121	1746	6340
122	1779	6393
123	1843	6555
124	1867	6574
125	1885	6569
126	1900	6555
127	1947	6648
128	1970	6660
129	2010	6725
130	2062	6834
131	2091	6859
132	2123	6897
133	2142	6890
134	2177	6936
135	2213	6983
136	2236	6987
137	2256	6982
138	2277	6979
139	2300	6984
140	2343	7046
141	2364	7044
142	2389	7050
143	2426	7093
144	2443	7078
145	2463	7068
146	2477	7044
147	2490	7016
148	2502	6985
149	2512	6950
150	2522	6917
151	2534	6887
152	2557	6886
153	2568	6854
154	2578	6821
155	2589	6787
156	2599	6755
157	2610	6725
158	2622	6696
159	2634	6667
160	2646	6640
161	2658	6612
162	2669	6582
163	2680	6555
164	2692	6527
165	2705	6503
166	2715	6472
167	2726	6441
168	2736	6413
169	2745	6379
170	2754	6346
171	2763	6315
172	2774	6286
173	2783	6254
174	2793	6226
175	2805	6200
176	2816	6173
177	2826	6145
178	2838	6120
179	2849	6095
180	2864	6077
181	2883	6068
182	2907	6068
183	2918	6043
184	2931	6020
185	2943	5998
186	2955	5975
187	2966	5949
188	2978	5925
189	2992	5906
190	3015	5905
191	3035	5897
192	3044	5868
193	3052	5837
194	3060	5807
195	3069	5777
196	3077	5749
197	3087	5722
198	3097	5696
199	3107	5670
200	3117	5645
201	3127	5620
202	3140	5600
203	3149	5573
204	3158	5547
205	3168	5520
206	3176	5493
207	3197	5487
208	3208	5465
209	3218	5440
210	3228	5416
211	3240	5394
212	3254	5378
213	3268	5361
214	3282	5344
215	3299	5331
216	3315	5316
217	3326	5295
218	3338	5273
219	3348	5251
220	3359	5228
221	3368	5204
222	3378	5180
223	3390	5160
224	3404	5143
225	3415	5123
226	3426	5102
227	3440	5086
228	3454	5068
229	3467	5050
230	3481	5033
231	3492	5013
232	3504	4993
233	3516	4974
234	3530	4957
